CustomerID,FirstName,LastName,Email,AddressLine1,AddressLine2,City,State,Zip,FavoriteColor,FavoriteQuote,VehicleVIN,VehicleMake,VehicleModel,VehicleYear,VehicleColor,CurrentMonthlyPremiumCents
"86619762140","Evelyn","Murray","hKnight@Yombu.info","9196 Southridge Plaza","","Lemoore","NY","7373640","Goldenrod","amet vitae consectetur id voluptatem libero aut consectetur fugiat.","7TSZ1M6YT9S1UD25L","Ram","2500","2007","Crimson","24335"
"71867319821","Wanda","Mills","RubyWilliamson@Centidel.name","2204 Morrow Trail","","San Bernardino","MD","1420888","Goldenrod","cum ut culpa exercitationem sit.","BRTWXUCFAP9AA7R58","BMW","6 Series","1996","Pink","17224"
"13533800752","Joe","Price","AndreaFord@Muxo.net","7050 Chive Crossing","","Alhambra","WV","9453579","Teal","eius similique hic officia quia ea fugit itaque.","928122H6BUFY9598W","Chrysler","300","2022","Pink","32110"
"98593967963","Joan","Burton","sint_ut@Leenti.gov","5677 Eagle Crest Park","","Waterford","MN","4634626","Khaki","sed aut est quod mollitia quos minus!","EV4CLNJ4M6EPS6YM5","Audi","Q3","2014","Turquoise","22433"
"90267176234","Walter","Alvarez","iLawson@Zoozzy.net","5614 Meadow Ridge Park","","Los Altos","WI","9447665","Violet","accusantium consequuntur voluptatem autem ut.","UH0ZJ26FEJZTBCYW6","Ram","2500","2010","Blue","30552"
"85487946835","Ashley","Romero","aut_ab_placeat@Latz.biz","183 Mandrake Trail","","Studio City","CO","3066678","Orange","nihil corporis quis veniam voluptas.","YDA1CSGNRGH8CGBSX","Dodge","Journey","2012","Purple","11282"
"37784085346","Diana","Lane","ChristinaBurke@Skyndu.net","7325 Buhler Road","","El Monte","MS","1709305","Fuscia","id id eos facere veniam.","2EZC8X2KEPL56NA80","Chevrolet","Trax","2008","Puce","15131"
"04577538877","Russell","Gilbert","cHanson@Kamba.com","1829 Dapin Trail","","Rolling Hills Estates","KS","5170974","Fuscia","ea dolores et mollitia cum veniam sequi nulla laborum.","X2VAMH191V8H5EL2W","Toyota","4Runner","2002","Crimson","19311"
"24877231778","Bruce","Carr","MichelleArmstrong@Rhyzio.gov","493 Victoria Pass","","Indio","AR","1777825","Turquoise","aut et hic dolor eius.","3RSRFPH3S6K8GGM28","Toyota","Corolla","2019","Green","11902"
"83620512779","Rachel","Ellis","TeresaWilson@Roombo.gov","8975 Oxford Pass","","Wasco","WV","9530595","Pink","mollitia ipsum vel sit.","F6E0KY1B2XBYJ4WVD","Lincoln","MKX","2007","Crimson","25919"
"717461084610","Margaret","Bryant","LarryBrown@Zoombox.mil","122 Darwin Lane","","Santa Monica","AK","4024264","Turquoise","voluptates et ex ea cumque repellendus.","SKEYUMAYSH8L12LUF","Nissan","Maxima","2015","Purple","26534"
"859135954811","Alice","Williamson","dolore_deleniti_ullam@Rhyloo.edu","4135 Manley Hill","","Albany","ND","4991635","Maroon","voluptas quibusdam sunt odio.","34ZJZTTP6DE7CC2ED","Mercedes-Benz","S-Class","1997","Yellow","16294"
"465922356212","Janice","Cole","voluptatem_quas@Thoughtstorm.name","5297 Jana Plaza","","Willits","NE","0622452","Teal","ex fugit enim sed molestiae illum.","1KD42ZDTTY2Z2ABG4","Honda","Pilot","2006","Fuscia","21635"
"093986382213","Ralph","Turner","occaecati_et_ut@Youspan.org","2173 Mesta Circle","","Tiburon","AL","8159119","Aquamarine","rem rem voluptatum aspernatur et est.","G9AG95TVS43BXE0SW","Cadillac","ATS","2000","Goldenrod","25678"
"420558916414","Albert","Clark","esse_non_fugiat@Eabox.net","5075 Lighthouse Bay Terrace","","Chino","IA","5930267","Blue","sequi autem ut cupiditate nobis eum.","68CF2Z94WMJ8LAM8D","Tesla","Model X","2005","Mauv","31624"
"273277331015","Stephen","Powell","iSpencer@Jetwire.biz","1638 Schurz Lane","","Placerville","NE","9865918","Violet","eos beatae quia dolorem expedita.","EAMNK029K1VYJNJNU","Chrysler","Pacifica","2002","Teal","23467"
"143843096416","Ryan","Alexander","explicabo_blanditiis@Youfeed.com","1305 Holy Cross Park","","Lakeport","MN","8206487","Puce","iste necessitatibus aperiam nisi quis id beatae nostrum officia.","MJAS31KL07E5993WU","Jeep","Grand Cherokee","2004","Crimson","28147"
"686566027417","Catherine","Fernandez","KathrynWagner@Edgetag.mil","2710 Comanche Pass","","Rio Dell","KS","0375078","Khaki","placeat similique enim nihil dolores voluptatum.","5BTER29HASGKPEJ04","GMC","Sierra","2011","Blue","31423"
"641160410318","Stephanie","Bishop","a_facere_rerum@Kwimbee.org","6678 Claremont Drive","","Los Altos Hills","MI","9146230","Puce","quis reiciendis est voluptate voluptatem odio.","BA1ZX3MFS9G0NUE1N","Kia","Stinger","2023","Blue","25155"
"214457404819","Kathy","Phillips","cRuiz@Kayveo.name","4639 Old Gate Circle","","Hidden Hills","IN","1707106","Aquamarine","dolorum ullam voluptate accusantium eveniet officiis cumque officiis.","D8W46D593KBA21ZH5","Mercedes-Benz","GLE","2019","Turquoise","23383"
